app_id,review_id,author_steamid,author_num_reviews,playtime_forever_min,playtime_last_2weeks_min,language,review,date_created,date_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,review_clean,detected_language,review_english
570,227494640,76561199702164637,6,1268,211,russian,"I want to strap a bomb to my chest walk into valve hq,find out who made this game and make 9/11 look like a ♥♥♥♥♥♥♥ little girls birthday party",2026-06-08 15:34:32,2026-06-08 15:34:32,False,0,0,0.5,0,True,False,False,"I want to strap a bomb to my chest walk into valve hq,find out who made this game and make 9 11 look like a little girls birthday party",russian,"I want to strap a bomb to my chest walk into valve hq,find out who made this game and make 9 11 look like a little girls birthday party"
570,227494600,76561198319512309,3,60246,3013,spanish,"mas de mil horas de juego en dota 2 y menos de 1000 en dota uno, aun asi me sigue dando diversion como hace años atras... lo recomiendo para quienes les gusten las competencias y demostrar sus habilidades gamers",2026-06-08 15:33:59,2026-06-08 15:33:59,True,0,0,0.5,0,True,False,False,"mas de mil horas de juego en dota 2 y menos de 1000 en dota uno, aun asi me sigue dando diversion como hace años atras... lo recomiendo para quienes les gusten las competencias y demostrar sus habilidades gamers",spanish,"more than a thousand hours of play in Dota 2 and less than 1000 in Dota One, even so it still gives me fun like it did years ago... I recommend it for those who like competitions and demonstrate their gamer skills"
570,227494516,76561199030223608,1,80782,342,russian,я ♥♥♥♥♥♥,2026-06-08 15:32:40,2026-06-08 15:32:40,False,0,0,0.5,0,True,False,False,я,russian,I
570,227494301,76561199199924546,1,24945,2337,russian,"Игра не для всех. Если у вас нет матери, но есть два отца и скрытое желание запихнуть себе в жопу снаряд первой мировой войны, тогда рекомендую к употреблению данный продукт.",2026-06-08 15:29:13,2026-06-08 15:29:13,True,0,0,0.5,0,True,False,False,"Игра не для всех. Если у вас нет матери, но есть два отца и скрытое желание запихнуть себе в жопу снаряд первой мировой войны, тогда рекомендую к употреблению данный продукт.",russian,"The game is not for everyone. If you don’t have a mother, but have two fathers and a hidden desire to shove a World War I shell up your ass, then I recommend this product for use."
570,227494218,76561199231986329,2,33113,78,russian,не играйте в это,2026-06-08 15:28:06,2026-06-08 15:28:06,True,0,0,0.5,0,True,False,False,не играйте в это,russian,don't play this
570,227493755,76561199465776692,1,185142,669,spanish,"buen juego

",2026-06-08 15:21:20,2026-06-08 15:21:20,True,0,0,0.5,0,True,False,False,buen juego,spanish,good game
570,227493718,76561199243063785,4,184,0,russian,Для слабоумных,2026-06-08 15:20:48,2026-06-08 15:20:48,False,0,0,0.5,0,True,False,False,Для слабоумных,russian,For the weak-minded
570,227493660,76561198982935796,5,490,289,polish,"ZJEBANA GRA
",2026-06-08 15:20:05,2026-06-08 15:20:05,False,0,0,0.5,0,True,False,False,ZJEBANA GRA,polish,FUCKING GAME
570,227493567,76561199543317590,2,1353,23,ukrainian,шедевр игровой индустрии 10/10  GG WP,2026-06-08 15:18:46,2026-06-08 15:18:46,True,0,0,0.5,0,True,False,False,шедевр игровой индустрии 10 10 GG WP,ukrainian,masterpiece of the gaming industry 10 10 GG WP
570,227493355,76561199508248537,2,69735,725,russian,як получить персонажа гитлера?,2026-06-08 15:15:47,2026-06-08 15:15:47,True,0,0,0.5,0,True,False,False,як получить персонажа гитлера?,russian,how to get the hitler character?
